Level,Expression,Value,Location,Refresh,Access
0,"extractionBuffer",,0x20005EDC,"Off","private"
 1,"[0]",,0x20005EDC,"Off","public"
  2,"xBuffer",51,0x20005EDC,"Off","public"
  2,"yBuffer",-6,0x20005EDE,"Off","public"
  2,"zBuffer",24,0x20005EE0,"Off","public"
 1,"[1]",,0x20005EE2,"Off","public"
  2,"xBuffer",118,0x20005EE2,"Off","public"
  2,"yBuffer",14,0x20005EE4,"Off","public"
  2,"zBuffer",59,0x20005EE6,"Off","public"
 1,"[2]",,0x20005EE8,"Off","public"
  2,"xBuffer",-60,0x20005EE8,"Off","public"
  2,"yBuffer",-87,0x20005EEA,"Off","public"
  2,"zBuffer",172,0x20005EEC,"Off","public"
 1,"[3]",,0x20005EEE,"Off","public"
  2,"xBuffer",273,0x20005EEE,"Off","public"
  2,"yBuffer",-115,0x20005EF0,"Off","public"
  2,"zBuffer",138,0x20005EF2,"Off","public"
 1,"[4]",,0x20005EF4,"Off","public"
  2,"xBuffer",119,0x20005EF4,"Off","public"
  2,"yBuffer",-295,0x20005EF6,"Off","public"
  2,"zBuffer",396,0x20005EF8,"Off","public"
 1,"[5]",,0x20005EFA,"Off","public"
  2,"xBuffer",218,0x20005EFA,"Off","public"
  2,"yBuffer",-487,0x20005EFC,"Off","public"
  2,"zBuffer",598,0x20005EFE,"Off","public"
 1,"[6]",,0x20005F00,"Off","public"
  2,"xBuffer",1,0x20005F00,"Off","public"
  2,"yBuffer",-316,0x20005F02,"Off","public"
  2,"zBuffer",767,0x20005F04,"Off","public"
 1,"[7]",,0x20005F06,"Off","public"
  2,"xBuffer",1112,0x20005F06,"Off","public"
  2,"yBuffer",22,0x20005F08,"Off","public"
  2,"zBuffer",1278,0x20005F0A,"Off","public"
 1,"[8]",,0x20005F0C,"Off","public"
  2,"xBuffer",628,0x20005F0C,"Off","public"
  2,"yBuffer",-1894,0x20005F0E,"Off","public"
  2,"zBuffer",860,0x20005F10,"Off","public"
 1,"[9]",,0x20005F12,"Off","public"
  2,"xBuffer",-851,0x20005F12,"Off","public"
  2,"yBuffer",-1863,0x20005F14,"Off","public"
  2,"zBuffer",3471,0x20005F16,"Off","public"
 1,"[10]",,0x20005F18,"Off","public"
  2,"xBuffer",-837,0x20005F18,"Off","public"
  2,"yBuffer",-1852,0x20005F1A,"Off","public"
  2,"zBuffer",3417,0x20005F1C,"Off","public"
 1,"[11]",,0x20005F1E,"Off","public"
  2,"xBuffer",-3,0x20005F1E,"Off","public"
  2,"yBuffer",-2522,0x20005F20,"Off","public"
  2,"zBuffer",3908,0x20005F22,"Off","public"
 1,"[12]",,0x20005F24,"Off","public"
  2,"xBuffer",-557,0x20005F24,"Off","public"
  2,"yBuffer",-2340,0x20005F26,"Off","public"
  2,"zBuffer",2099,0x20005F28,"Off","public"
 1,"[13]",,0x20005F2A,"Off","public"
  2,"xBuffer",-278,0x20005F2A,"Off","public"
  2,"yBuffer",788,0x20005F2C,"Off","public"
  2,"zBuffer",4854,0x20005F2E,"Off","public"
 1,"[14]",,0x20005F30,"Off","public"
  2,"xBuffer",-777,0x20005F30,"Off","public"
  2,"yBuffer",776,0x20005F32,"Off","public"
  2,"zBuffer",3332,0x20005F34,"Off","public"
 1,"[15]",,0x20005F36,"Off","public"
  2,"xBuffer",-913,0x20005F36,"Off","public"
  2,"yBuffer",-4659,0x20005F38,"Off","public"
  2,"zBuffer",3280,0x20005F3A,"Off","public"
 1,"[16]",,0x20005F3C,"Off","public"
  2,"xBuffer",-2681,0x20005F3C,"Off","public"
  2,"yBuffer",-1877,0x20005F3E,"Off","public"
  2,"zBuffer",873,0x20005F40,"Off","public"
 1,"[17]",,0x20005F42,"Off","public"
  2,"xBuffer",417,0x20005F42,"Off","public"
  2,"yBuffer",-1632,0x20005F44,"Off","public"
  2,"zBuffer",3265,0x20005F46,"Off","public"
 1,"[18]",,0x20005F48,"Off","public"
  2,"xBuffer",-434,0x20005F48,"Off","public"
  2,"yBuffer",-4792,0x20005F4A,"Off","public"
  2,"zBuffer",1305,0x20005F4C,"Off","public"
 1,"[19]",,0x20005F4E,"Off","public"
  2,"xBuffer",-426,0x20005F4E,"Off","public"
  2,"yBuffer",-4716,0x20005F50,"Off","public"
  2,"zBuffer",-2494,0x20005F52,"Off","public"
 1,"[20]",,0x20005F54,"Off","public"
  2,"xBuffer",-210,0x20005F54,"Off","public"
  2,"yBuffer",-2562,0x20005F56,"Off","public"
  2,"zBuffer",-2419,0x20005F58,"Off","public"
 1,"[21]",,0x20005F5A,"Off","public"
  2,"xBuffer",3408,0x20005F5A,"Off","public"
  2,"yBuffer",533,0x20005F5C,"Off","public"
  2,"zBuffer",1547,0x20005F5E,"Off","public"
 1,"[22]",,0x20005F60,"Off","public"
  2,"xBuffer",-581,0x20005F60,"Off","public"
  2,"yBuffer",-3429,0x20005F62,"Off","public"
  2,"zBuffer",2019,0x20005F64,"Off","public"
 1,"[23]",,0x20005F66,"Off","public"
  2,"xBuffer",2432,0x20005F66,"Off","public"
  2,"yBuffer",3405,0x20005F68,"Off","public"
  2,"zBuffer",-918,0x20005F6A,"Off","public"
 1,"[24]",,0x20005F6C,"Off","public"
  2,"xBuffer",5151,0x20005F6C,"Off","public"
  2,"yBuffer",-1603,0x20005F6E,"Off","public"
  2,"zBuffer",-2359,0x20005F70,"Off","public"
 1,"[25]",,0x20005F72,"Off","public"
  2,"xBuffer",224,0x20005F72,"Off","public"
  2,"yBuffer",625,0x20005F74,"Off","public"
  2,"zBuffer",-1236,0x20005F76,"Off","public"
 1,"[26]",,0x20005F78,"Off","public"
  2,"xBuffer",-5246,0x20005F78,"Off","public"
  2,"yBuffer",2120,0x20005F7A,"Off","public"
  2,"zBuffer",-1918,0x20005F7C,"Off","public"
 1,"[27]",,0x20005F7E,"Off","public"
  2,"xBuffer",5612,0x20005F7E,"Off","public"
  2,"yBuffer",190,0x20005F80,"Off","public"
  2,"zBuffer",-3771,0x20005F82,"Off","public"
 1,"[28]",,0x20005F84,"Off","public"
  2,"xBuffer",3254,0x20005F84,"Off","public"
  2,"yBuffer",-1008,0x20005F86,"Off","public"
  2,"zBuffer",-6651,0x20005F88,"Off","public"
 1,"[29]",,0x20005F8A,"Off","public"
  2,"xBuffer",427,0x20005F8A,"Off","public"
  2,"yBuffer",-2263,0x20005F8C,"Off","public"
  2,"zBuffer",-985,0x20005F8E,"Off","public"
 1,"[30]",,0x20005F90,"Off","public"
  2,"xBuffer",1365,0x20005F90,"Off","public"
  2,"yBuffer",-426,0x20005F92,"Off","public"
  2,"zBuffer",-1751,0x20005F94,"Off","public"
 1,"[31]",,0x20005F96,"Off","public"
  2,"xBuffer",-3931,0x20005F96,"Off","public"
  2,"yBuffer",-1551,0x20005F98,"Off","public"
  2,"zBuffer",-2106,0x20005F9A,"Off","public"
 1,"[32]",,0x20005F9C,"Off","public"
  2,"xBuffer",3630,0x20005F9C,"Off","public"
  2,"yBuffer",2087,0x20005F9E,"Off","public"
  2,"zBuffer",-409,0x20005FA0,"Off","public"
 1,"[33]",,0x20005FA2,"Off","public"
  2,"xBuffer",3415,0x20005FA2,"Off","public"
  2,"yBuffer",944,0x20005FA4,"Off","public"
  2,"zBuffer",3781,0x20005FA6,"Off","public"
 1,"[34]",,0x20005FA8,"Off","public"
  2,"xBuffer",-1157,0x20005FA8,"Off","public"
  2,"yBuffer",-596,0x20005FAA,"Off","public"
  2,"zBuffer",-698,0x20005FAC,"Off","public"
 1,"[35]",,0x20005FAE,"Off","public"
  2,"xBuffer",-2529,0x20005FAE,"Off","public"
  2,"yBuffer",2897,0x20005FB0,"Off","public"
  2,"zBuffer",-1966,0x20005FB2,"Off","public"
 1,"[36]",,0x20005FB4,"Off","public"
  2,"xBuffer",-508,0x20005FB4,"Off","public"
  2,"yBuffer",164,0x20005FB6,"Off","public"
  2,"zBuffer",1406,0x20005FB8,"Off","public"
 1,"[37]",,0x20005FBA,"Off","public"
  2,"xBuffer",120,0x20005FBA,"Off","public"
  2,"yBuffer",3919,0x20005FBC,"Off","public"
  2,"zBuffer",-1069,0x20005FBE,"Off","public"
 1,"[38]",,0x20005FC0,"Off","public"
  2,"xBuffer",203,0x20005FC0,"Off","public"
  2,"yBuffer",1185,0x20005FC2,"Off","public"
  2,"zBuffer",-2688,0x20005FC4,"Off","public"
 1,"[39]",,0x20005FC6,"Off","public"
  2,"xBuffer",-386,0x20005FC6,"Off","public"
  2,"yBuffer",1853,0x20005FC8,"Off","public"
  2,"zBuffer",-1226,0x20005FCA,"Off","public"
 1,"[40]",,0x20005FCC,"Off","public"
  2,"xBuffer",-2188,0x20005FCC,"Off","public"
  2,"yBuffer",2644,0x20005FCE,"Off","public"
  2,"zBuffer",95,0x20005FD0,"Off","public"
 1,"[41]",,0x20005FD2,"Off","public"
  2,"xBuffer",779,0x20005FD2,"Off","public"
  2,"yBuffer",1870,0x20005FD4,"Off","public"
  2,"zBuffer",-2109,0x20005FD6,"Off","public"
 1,"[42]",,0x20005FD8,"Off","public"
  2,"xBuffer",2983,0x20005FD8,"Off","public"
  2,"yBuffer",2894,0x20005FDA,"Off","public"
  2,"zBuffer",-3411,0x20005FDC,"Off","public"
 1,"[43]",,0x20005FDE,"Off","public"
  2,"xBuffer",-4036,0x20005FDE,"Off","public"
